Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
Te Ata,"Frankowski, Nathan",Nathan Frankowski ...,2188335,DVD TEA,"Te Ata est inspiré de la vie de Mary Thompson Fisher, une femme qui a franchi les barrières culturelles pour devenir l'une des plus grandes actrices indiennes de tous les temps. Née en territoire indien, elle a été éduquée au travers des chants et histoires de la tribu Chickasaw qui ont guidé sa quête de sens. Te Ata a traversé l'isolement, connu découvertes, amour et une carrière d'actrice qui l'amena à jouer devant le président des Etats-Unis d'Amérique, des royautés d'Europe et dans le monde entier. En bonus : Partez à la découverte du peuple Chickasaw avec Marie-Claude Strigle, anthropologue, docteur en civilisations américaines, écrivain et maître de conférences honoraire et Olivier Delavault, éditeur spécialisé sur l'Amérique indienne et auteur.",Western
Tel Aviv on fire,"Zoabi, Sameh (1975 - ...)","Sameh Zoabi, réal.",2171579,DVD TEL,"Salam, 30 ans, vit à Jérusalem. Il est Palestinien et stagiaire sur le tournage de la série arabe à succès ""Tel Aviv on Fire !"" Tous les matins, il traverse le même check-point pour aller travailler à Ramallah. Un jour, Salam se fait arrêter par un officier israélien, Assi, fan de la série. Pour s'en sortir, il prétend en être le scénariste. Pris à son propre piège, Salam va se voir imposer par Assi un nouveau scénario. Evidemment, rien ne se passera comme prévu. En bonus : Scènes coupées, Entretien avec le réalisateur, Court métrage ""Be quiet"", Entretien avec Frederic Albert Levy et le programmateur du cinéma Luminor du Festival Ciné-Palestine, Bande-annonce.",Drame
"Tel père, tel fils","Kore-Eda, Hirokazu",Hirokazu Kore-Eda ...,2129990,DVD TEL,"Deux enfants échangés à la naissance, deux familles que tout oppose qui doivent faire face... Un très beau film sur l'enfance et la paternité, qui transgresse les classes sociales, opposant une certaine spiritualité à une forme de matérialisme...",Policier et espionnage
Tempête,"Duguay, Christian (1957 - ...)",Christian Duguay ...,2168479,DVDJ TEM,"Née dans le haras de ses parents, Zoé a grandi au milieu des chevaux et n'a qu'un rêve : devenir jockey ! Tempête, une pouliche qu'elle voit naître, va devenir son alter ego. Mais un soir d'orage, Tempête, affolée, piétine le dos de Zoé et vient briser tous ses rêves, elle ne marchera plus. Elle va pourtant s'accrocher, coûte que coûte pendant des années, et va tenter l'impossible pour renouer avec son destin.",Drame
Temps mort,"Duchemin, Eve",Eve Duchemin ...,2197717,DVD TEM,"Pour la première fois depuis longtemps, trois détenus se voient accorder une permission d'un week-end. 48h pour atterrir. 48h pour renouer avec leurs proches. 48h pour tenter de rattraper le temps perdu.",Drame
Tempura,"Oku, Akiko",Akiko Oku ...,2197219,DVD TEM,"Depuis toujours, Mitsuko vit dans sa bulle. Au coeur d'un Tokyo trop grand pour elle, elle se consacre avec passion à des recettes de cuisine qu'elle peaufine de son petit appartement. En célibataire épanouie, elle se fixe chaque jour de nouveaux défis jusqu'à celui inédit... d'inviter un garçon à dîner !","Romance, sentimental"
Tenue de soirée,"Blier, Bertrand",Bertrand Blier ...,2111151,DVD TEN,"Un cambrioleur prend en charge un couple et fait du mari son amant. Sans tomber dans la vulgarité ou le moralisme, Bertrand Blier aborde le thème de l'homosexualité...",Drame
Terre promise,"Gitai, Amos",Amos Gitai ...,2053837,DVD TER,"Un groupe de femmes d'Europe de l'Est, promises à la traite des Blanches, transite par le Sinaï... Un air de documentaire pour une dénonciation fiévreuse de l'esclavage humain... Bande-annonce, interview des comédiennes et de Amos Gitaï ; doc : ""Travail à vendre"", Interview de Michel Frodon / Amos Gitaï. [",Policier et espionnage
Tess,"Polanski, Roman",Roman Polanski ...,2183768,DVD TES,"La vie de Tess, fille de fermier, dans l'Angleterre de la fin du XIXe siècle... Une superbe photographie, une adaptation soignée de l'oeuvre de Thomas Hardy... I",Historique
Tetro,"Coppola, Francis Ford (1939 - ...)",Francis Ford Coppola ...,2131271,DVD TET,"Tetro s'est exilé en Agentine et a rompu tout lien avec sa famille... Un jour, son frère cadet, 18 ans, débarque à Buenos Aires... Un cinéma d'ombres et de lumière traité comme une tragédie antique...",Drame
The Cakemaker,"Graizer, Ofir Raul (19681 - ...)",Ofir Raul Graizer ...,2169776,DVD CAK,"Thomas, un jeune pâtissier allemand, a une liaison avec Oren, israélien et marié, qui voyage régulièrement à Berlin pour affaires. Quand Oren meurt dans un accident de voiture, Thomas se rend à Jérusalem à la recherche de réponses concernant sa mort. Sans révéler qui il est, Thomas se plonge dans la vie d'Anat, la veuve de son amant, qui tient un petit café. Il commence alors à travailler pour elle. En bonus : Contient les trois recettes inspirées du film ; Instantané par le compositeur de la bande originale, Dominique Charpentier.",Drame
The charmer,"Alami, Milad (1982 - ...)",Milad Alami ...,2171053,DVD CHA,"Esmail, jeune et charmant iranien, vit au Danemark où il travaille comme déménageur. Pourtant, le soir venu, il fréquente les lieux huppés de la ville pour séduire des femmes, espérant ainsi se marier et obtenir un permis de séjour. Lorsqu'il rencontre Sara, tout bascule. Sur le point d'arriver à ses fins, il est traqué par un homme mystérieux...En bonus : Entretiens avec le réalisateur Milad Alami et le comédien Ardalan Esmaili.",Drame
The Climb,"Covino, Michael Angelo",Michael Angelo Covino ...,2188647,DVD CLI,"Kyle et Mike sont deux meilleurs amis aux tempéraments très différents mais dont l'amitié a toujours résisté aux épreuves de la vie. Jusqu'au jour où Mike couche avec la fiancée de Kyle. Alors que l'amitié qui les lie aurait dû être irrémédiablement rompue, un événement dramatique va les réunir à nouveau.Court métrage, bandes-annonces. Prix du jury au Festival du cinéma américain de Deauville, France, 2019, Coup de coeur du jury Un certain regard au Festival de Cannes, France, 2019 ""Derrière cette apparente légèreté, le film est plus profond qu'il n'y paraît, abordant avec sensibilité la question de l'amitié, au coeur du film, mais aussi la famille, la masculinité, la virilité."" Culturebox - France Télévisions - Laurence Houot ""Une leçon d'écriture, de jeu et de mise en scène."" CinemaTeaser ""Michael Angelo Covino signe un film drôle et fêlé sur le mystère de l'amitié masculine, qui survit là où l'amour échoue."" Le Monde - Philippe Ridet ""Une comédie virtuose autour d'une amitié masculine toxique réalisée avec une grande maîtrise formelle. [...] une comédie réjouissante, non seulement très drôle, mais dont la virtuosité (quelque peu wes-andersonienne) n'est pas vaine."" Les Inrockuptibles - Jacky Goldberg",Thriller
The Crown (5) : The Crown - Saison 5,"Hobbs, Jessica","Jessica Hobbs, Christian Schwochow, Erik Richter Strand ...",2197644,DVD CRO (5) TV,"Une intrigue qui se concentre cette fois sur les années 1990 et les nombreux scandales qui ont éclaboussé la Reine Elizabeth et son entourage : les divorces royaux, notamment le plus médiatisé, celui de Charles et Diana ; l'incendie du Château de Windsor ; la tentative de coup d'état de Charles à sa mère ; les petits messages salaces de ce dernier à Camilla révélés par la presse ; l'arrivée de Tony Blair au pouvoir...",Fantasy / Merveilleux
The Cut,"Akin, Fatih (1973 - ...)",Fatih Akin ...,2158655,DVD CUT,"Anatolie, 1915. Dans le tumulte de la Première Guerre mondiale, alors que l'armée turque s'attaque aux Arméniens, le jeune forgeron Nazaret Manoogian est séparé de sa femme et ses deux filles. Des années plus tard, rescapé du génocide, Nazaret apprend que ses filles sont toujours en vie. Porté par l'espoir de les retrouver, il se lance dans une quête éperdue, ponctuée de rencontres avec des anges et des démons, du désert de la Mésopotamie aux prairies sauvages du Dakota... En bonus : The Cut - les origines : making of avec interviews de Fatih Akin et Tahar Rahim.",Film de guerre
The Day He Arrives / Haewon et les hommes,"Hong, Sang-Soo",Sang-Soo Hong ...,2134677,DVD DAY,"""The Day He Arrives (Matins calmes à Séoul)"" (N&B, 2011, 79') Sungjoon, un professeur de faculté autrefois cinéaste, vient rendre visite à son ami Youngho à Séoul. Il déambule dans le quartier de Bukchon, au nord de la capitale. & ""Haewon et les hommes"" (2013, 90') Haewon, une jeune et belle étudiante, veut mettre fin à la liaison qu'elle entretient avec son professeur Seongjun. Mais e sentant déprimée par le départ de sa mère qui part s'installer au Canada, elle le contacte à nouveau.",Drame
The disaster artist,"Franco, James",James Franco ...,2158949,DVD DIS,"En 2003, Tommy Wiseau, artiste passionné mais totalement étranger au milieu du cinéma, entreprend de réaliser un film. Sans savoir vraiment comment s'y prendre, il se lance... et signe ""The Room"", le plus grand nanar de tous les temps. Comme quoi, il n'y a pas qu'une seule méthode pour devenir une légende ! Golden Globe du meilleur acteur dans une comédie ou une comédie musicale (James Franco), Etats-Unis, 2018, Coquille d'Or au Festival de San Sebastián, Espagne, 2017. En bonus: ""Oh Hi Mark ! - La création d'un désastre"" : making of.",Musical
The Fabelmans,"Spielberg, Steven (1946 - ...)",Steven Spielberg ...,2185774,DVD FAB,"Passionné de cinéma, Sammy Fabelman passe son temps à filmer sa famille. S'il est encouragé dans cette voie par sa mère Mitzi, dotée d'un tempérament artistique, son père Burt, scientifique accompli, considère que sa passion est surtout un passe-temps. Au fil des années, Sammy, à force de pointer sa caméra sur ses parents et ses soeurs, est devenu le documentariste de l'histoire familiale ! Il réalise même de petits films amateurs de plus en plus sophistiqués, interprétés par ses amis et ses soeurs. Mais lorsque ses parents décident de déménager dans l'ouest du pays, il découvre une réalité bouleversante sur sa mère, qui bouscule ses rapports avec elle et fait basculer son avenir et celui de ses proches. Portrait profondément intime d'une enfance américaine au XXème siècle, ""The Fabelmans"" de Steven Spielberg nous plonge dans l'histoire familiale du cinéaste qui a façonné sa vie personnelle et professionnelle. A partir du récit initiatique d'un jeune homme solitaire qui aspire à réaliser ses rêves, le film explore les relations amoureuses, l'ambition artistique, le sacrifice et les moments de lucidité qui nous permettent d'avoir un regard sincère et tendre sur nous-mêmes et nos parents.",Fantasy / Merveilleux
The Father,"Zeller, Florian",Florian Zeller ...,2195071,DVD FAT,"""The father"" raconte la trajectoire intérieure d'un homme de 81 ans, Anthony, dont la réalité se brise peu à peu sous nos yeux. Mais c'est aussi l'histoire d'Anne, sa fille, qui tente de l'accompagner dans un labyrinthe de questions sans réponses, d'après la pièce ""Le père"" de Florian Zeller. En bonus : 3 scènes coupées. Oscars du meilleur scénario adapté et du meilleur acteur (Anthony Hopkins), Etats-Unis, 2021, BAFTA Awards du meilleur scénario adapté et du meilleur acteur (Anthony Hopkins), Grande-Bretagne, 2021, Prix du public au Festival de San Sebastian, Espagne, 2021, Goya du meilleur film européen, Espagne, 2021 ""Labyrinthe mental bouleversant, ""The Father"" est une expérience viscérale et proprement époustouflante de la déliquescence humaine. Un très grand premier film."" Ecran Large - Alexandre Janowiak ""Anthony Hopkins joue de sa propre vieillesse, de sa vulnérabilité, de sa fragilité, de ses questions face à la maladie de la mort. A ce jeu vrai, démasqué, sans art d'artifice, l'acteur octogénaire est bouleversant et magistral."" Dernières Nouvelles d'Alsace - Nathalie Chifflet ""Refusant le naturalisme, Florian Zeller utilise les techniques du cinéma pour illustrer ce chaos mental et le faire ressentir au spectateur et envelopper son huis clos d'une angoisse presque polanskienne. Terrible et déchirant."" La Voix du Nord - Christophe Caron",Drame
The Fisher king,"Gilliam, Terry (1940 - ...)",Terry Gilliam ...,2158094,DVD FIS,Deux laissés-pour-compte ayant touché le fond se mettent en quête d'un sacré Graal. Le meilleur film de Terry Gilliam. On rit et on pleure. Eblouissant.,Aventure
The Florida project,"Baker, Sean (1971 - ...)",Sean Baker ...,2158225,DVD FLO,"Moonee a 6 ans et un sacré caractère. Lâchée en toute liberté dans un motel de la banlieue de Disney World, elle y fait les 400 coups avec sa petite bande de gamins insolents. Ses incartades ne semblent pas trop inquiéter Halley, sa très jeune mère. En situation précaire, comme tous les habitants du motel, celle-ci est en effet trop concentrée sur des plans plus ou moins honnêtes pour assurer leur quotidien... En bonus : Making of, bêtisier, interviews de Sean Baker et Bria Vinaite.",Drame
The Grand Budapest Hotel,"Anderson, Wes (1969 - ...)",Wes Anderson ...,2132685,DVD GRA,"Le film retrace les aventures de Gustave H, l'homme aux clés d'or d'un célèbre hôtel européen de l'entre-deux-guerres et du garçon d'étage Zéro Moustafa, son allié le plus fidèle. La recherche d'un tableau volé, oeuvre inestimable datant de la Renaissance, et un conflit autour d'un important héritage familial forment la trame de cette histoire au coeur de la vieille Europe en pleine mutation.",Historique
The happy prince,"Everett, Rupert",Rupert Everett ...,2171839,DVD HAP,"A la fin du XIXème siècle, le dandy et écrivain de génie Oscar Wilde, intelligent et scandaleux, brille au sein de la société londonienne. Son homosexualité est toutefois trop affichée pour son époque et il est envoyé en prison. Ruiné et malade lorsqu'il en sort, il part s'exiler à Paris. Dans sa chambre d'hôtel miteuse, au soir de sa vie, les souvenirs l'envahissent...",Historique
The house that Jack built,"Von Trier, Lars",Lars Von Trier ...,2169944,DVD HOU,"Etats-Unis, années 70. Nous suivons le très brillant Jack à travers cinq incidents et découvrons les meurtres qui vont marquer son parcours de tueur en série. L'histoire est vécue du point de vue de Jack. Il considère chaque meurtre comme une oeuvre d'art en soi. Alors que l'ultime et inévitable intervention de la police ne cesse de se rapprocher, il décide, contrairement à toute logique, de prendre de plus en plus de risques. En bonus : Interview de Lars von Trier.",Policier et espionnage
